category;scope;category_name;RMSE;MSE;MAE;MAPE;R2;StandardDeviation
SubSector;CF2_log;Marine Ports & Services;0.963977672;0.929252952;0.802456203;0.229801292;-0.074249474;0.770717258
SubSector;CF2_log;Paper Products;0.913191338;0.833918419;0.596986955;0.120396354;-0.684066983;0.74376006
SubSector;CF2_log;Coal & Consumable Fuels;1.397455251;1.952881178;0.973416204;0.263915606;-0.891664685;1.003505208
SubSector;CF2_log;Thrifts & Mortgage Finance;0.397918787;0.158339361;0.356610955;0.111101559;0.074579133;0.322867492
SubSector;CF2_log;Trading Companies & Distributors;0.605275374;0.366358279;0.416220396;0.120355791;0.253540098;0.441698996
SubSector;CF2_log;Multi-Utilities;1.209831323;1.463691829;1.131917431;0.197258502;-1.529554836;0.427147232
SubSector;CF2_log;Residential REITs;0.56437965;0.318524389;0.462268058;0.117629421;0.078404881;0.558611303
SubSector;CF2_log;Retail REITs;0.652251175;0.425431595;0.572710291;0.141509583;-0.176541329;0.4778432
SubSector;CF2_log;IT Consulting & Other Services;0.899979724;0.809963503;0.819608762;0.171097608;0.192687833;0.405499745
SubSector;CF2_log;Cable & Satellite;0.824786768;0.680273212;0.702258474;0.14816967;-1.707930706;0.434512944
SubSector;CF2_log;Communications Equipment;0.88108049;0.776302829;0.832724312;0.177285454;-0.038319682;0.287876795
SubSector;CF2_log;Property & Casualty Insurance;0.523745499;0.274309348;0.431094977;0.113838774;-0.090469043;0.332773526
SubSector;CF2_log;Wireless Telecommunication Services;1.256273735;1.578223698;1.201971118;0.21157754;-2.806967117;0.365361643
SubSector;CF2_log;Independent Power Producers & Energy Traders;2.609299487;6.808443813;2.514290843;0.576222159;-14.08103058;0.697700059
SubSector;CF2_log;Fertilizers & Agricultural Chemicals;0.436475409;0.190510783;0.32644145;0.059806983;0.037036789;0.310211381
SubSector;CF2_log;Distillers & Vintners;0.454034144;0.206147004;0.361508843;0.076507431;-1.856886581;0.310196822
SubSector;CF2_log;Soft Drinks;0.354352753;0.125565874;0.260366611;0.054102243;0.402882256;0.347061208
SubSector;CF2_log;Department Stores;0.940913074;0.885317413;0.893886112;0.172702021;-0.883924311;0.293743138
SubSector;CF2_log;Water Utilities;0.271024003;0.07345401;0.215981433;0.045471358;0.79461874;0.244543436
SubSector;CF2_log;Multi-line Insurance;0.788097139;0.6210971;0.677737177;0.170624507;0.320118873;0.611813997
SubSector;CF2_log;Interactive Media & Services;1.060178633;1.123978734;0.724543664;0.159092508;0.562863218;0.790830614
SubSector;CF2_log;Aluminum;0.929258543;0.863521439;0.710786579;0.126020936;-0.472485989;0.741159513
SubSector;CF2_log;Real Estate Development ;1.080730101;1.167977551;0.940542179;0.232570704;-0.388214629;0.780024606
SubSector;CF2_log;Air Freight & Logistics;0.588361269;0.346168983;0.408600619;0.102212768;-0.407217559;0.472969877
SubSector;CF2_log;Marine;2.078961999;4.322082993;1.932186096;0.452648715;-8.979527691;0.827560112
SubSector;CF2_log;Multi-Sector Holdings;0.590793031;0.349036406;0.471712741;0.153817614;0.831677485;0.486181304
SubSector;CF2_log;Health Care Supplies;0.531963202;0.282984848;0.459878122;0.103604126;0.283655835;0.385451639
SubSector;CF2_log;Application Software;0.850360636;0.723113211;0.767935414;0.195851216;0.213239028;0.365223782
SubSector;CF2_log;Automobile Manufacturers;0.327090304;0.106988067;0.256489162;0.047927687;0.790671165;0.249479029
SubSector;CF2_log;Tires & Rubber;0.3051661;0.093126349;0.255626997;0.047838793;0.769131698;0.187703854
SubSector;CF2_log;Publishing;0.669604803;0.448370592;0.615005693;0.176537638;-0.776788328;0.271665089
SubSector;CF2_log;Health Care Distributors;0.600222826;0.36026744;0.549550642;0.117782104;0.559783037;0.457030916
SubSector;CF2_log;Housewares & Specialties;0.625982823;0.391854495;0.625974292;0.140068762;-801.227988;0.003268021
SubSector;CF2_log;Construction Machinery & Heavy Trucks;0.510302673;0.260408818;0.413489189;0.087906103;0.039165232;0.37494106
SubSector;CF2_log;Pharmaceuticals;0.407629066;0.166161456;0.308915364;0.06319609;0.400385342;0.273154554
SubSector;CF2_log;Advertising;0.807424026;0.651933558;0.763913126;0.202988808;0.198268329;0.261477138
SubSector;CF2_log;Health Care Facilities;0.583577211;0.340562362;0.470981431;0.093179311;0.322101873;0.45449062
SubSector;CF2_log;Hypermarkets & Super Centers;0.568675187;0.323391468;0.434041921;0.075501461;-1.67472205;0.37239137
SubSector;CF2_log;Apparel, Accessories & Luxury Goods;0.500137118;0.250137136;0.448611466;0.089690664;-0.084974202;0.250189922
SubSector;CF2_log;Office Services & Supplies;0.510233287;0.260338007;0.473957468;0.097738088;-4.006764237;0.188950592
SubSector;CF2_log;Building Products;0.430817776;0.185603956;0.375406289;0.077526736;0.859638106;0.430793073
SubSector;CF2_log;Industrial Gases;0.30740012;0.094494834;0.208007791;0.031700843;0.039695546;0.305191244
SubSector;CF2_log;Health Care Technology;1.22600358;1.503084778;1.168758108;0.357242678;-27.43059785;0.370255672
SubSector;CF2_log;Auto Parts & Equipment;0.55788723;0.311238162;0.524218963;0.089937941;-1.022576823;0.21394586
SubSector;CF2_log;Semiconductor Equipment ;0.656624685;0.431155977;0.565765376;0.120234253;0.270536887;0.394342142
SubSector;CF2_log;Electrical Components & Equipment;0.513470789;0.263652251;0.443469613;0.091425466;0.084962328;0.25881838
SubSector;CF2_log;Computer & Electronics Retail;0.731305195;0.534807289;0.707854929;0.129001616;-0.185456355;0.183708161
SubSector;CF2_log;Industrial Conglomerates;0.713291239;0.508784391;0.422950773;0.146964436;0.221732303;0.713082985
SubSector;CF2_log;Copper;0.304997864;0.093023697;0.249520891;0.042413616;0.310722806;0.254569844
SubSector;CF2_log;Reinsurance;0.456075451;0.208004817;0.396782104;0.102753644;-1.072755153;0.224875029
SubSector;CF2_log;Systems Software;0.981832449;0.963994957;0.931292681;0.23191426;-1.114302031;0.310948388
SubSector;CF2_log;Gas Utilities;0.794965181;0.631969638;0.694141504;0.148473646;-1.650957592;0.387475433
SubSector;CF2_log;Footwear;0.853845973;0.729052945;0.828859551;0.16488134;0.108269941;0.205048264
SubSector;CF2_log;Diversified Real Estate Activities ;1.010754792;1.021625249;0.975212697;0.180845628;-5.72257705;0.988359178
SubSector;CF2_log;Specialty Stores;1.170414012;1.369868959;1.140268274;0.277850424;-4.302865724;0.263926545
SubSector;CF2_log;Alternative Carriers;1.116126583;1.24573855;1.057278452;0.219825206;-2.053906266;0.357632249
SubSector;CF2_log;Industrial Machinery;0.423142406;0.179049496;0.35410667;0.075393507;0.111117439;0.421312647
SubSector;CF2_log;Tobacco;0.385210809;0.148387367;0.32208488;0.062074004;-0.37245487;0.370614164
SubSector;CF2_log;Commodity Chemicals;0.675387008;0.45614761;0.505867764;0.093887817;-0.686261414;0.481115529
SubSector;CF2_log;Casinos & Gaming;1.037877917;1.07719057;0.970610489;0.309568168;0.113977773;0.703630308
SubSector;CF2_log;Food Distributors;0.611153078;0.373508084;0.556408757;0.115504907;-0.399963517;0.492919793
SubSector;CF2_log;Health Care  Services;0.380972943;0.145140383;0.352964321;0.073370272;0.589326375;0.218026088
SubSector;CF2_log;Consumer Electronics;0.575874864;0.331631859;0.543991014;0.100690269;0.372322972;0.188959347
SubSector;CF2_log;Apparel Retail;1.309308379;1.714288432;1.264546288;0.248665598;-4.176821326;0.339427631
SubSector;CF2_log;Leisure Facilities;0.36194588;0.13100482;0.341215795;0.070406693;0.568888554;0.120733599
SubSector;CF2_log;Commercial Printing;0.201332118;0.040534622;0.187094611;0.031752177;-11.46314017;0.078941497
SubSector;CF2_log;Household Appliances;0.485947164;0.236144646;0.429817518;0.098013817;0.382022548;0.345813377
SubSector;CF2_log;General Merchandise Stores;0.789806866;0.623794886;0.692250019;0.126889472;0.112805984;0.380243076
SubSector;CF2_log;Technology Distributors;0.822723614;0.676874145;0.821096182;0.178633258;-124.6374701;0.051722384
SubSector;CF2_log;Real Estate Operating Companies;0.991589607;0.983249949;0.78026453;0.200352537;-2.579239822;0.825413357
SubSector;CF2_log;Internet & Direct Marketing Retail;0.840168504;0.705883115;0.727047612;0.169580551;-0.154338198;0.481557175
SubSector;CF2_log;Technology Hardware, Storage & Peripherals;1.090545695;1.189289913;1.054973066;0.218462659;-2.495843202;0.2762639
SubSector;CF2_log;Investment Banking & Brokerage;1.162174862;1.35065041;1.082319609;0.298438153;-0.451034526;0.583600893
SubSector;CF2_log;Consumer Finance;0.80489545;0.647856685;0.695198137;0.157883151;0.050791425;0.607221846
SubSector;CF2_log;Diversified Capital Markets;1.182936035;1.399337662;1.121780641;0.2441772;-2.790261779;0.375427564
SubSector;CF2_log;Heavy Electrical Equipment;0.352981137;0.124595683;0.231592371;0.059497465;0.659933836;0.352210761
SubSector;CF2_log;Metal & Glass Containers;0.528409583;0.279216687;0.480194832;0.091159075;0.119140835;0.332564186
SubSector;CF2_log;Brewers;0.264407235;0.069911186;0.229997646;0.041044623;0.03750546;0.224064802
SubSector;CF2_log;Life Sciences Tools & Services;0.640356107;0.410055943;0.569317561;0.141267988;0.650387615;0.397647826
SubSector;CF2_log;Packaged Foods & Meats;0.775762675;0.601807727;0.622983342;0.210994913;0.366422088;0.732547303
SubSector;CF2_log;Industrial REITs;0.768915714;0.591231375;0.640983516;0.145884689;0.070497051;0.5185677
SubSector;CF2_log;Homefurnishing Retail;0.721736546;0.520903641;0.702369137;0.161800315;-9.881543843;0.166075997
SubSector;CF2_log;Precious Metals & Minerals;1.131074675;1.279329921;1.09132893;0.180319989;-5.307730763;0.297205465
SubSector;CF2_log;Automotive Retail;0.522635122;0.273147471;0.48569303;0.115052501;0.315420314;0.485831221
SubSector;CF2_log;Biotechnology;0.257957518;0.066542081;0.219155564;0.067363388;0.955664262;0.255049581
SubSector;CF2_log;Research & Consulting Services;0.558968063;0.312445295;0.414212999;0.127814567;0.076625163;0.417071824
SubSector;CF2_log;Forest Products;0.452084727;0.204380601;0.335190496;0.069309691;0.673345531;0.310147117
SubSector;CF2_log;Aerospace & Defense;0.417398056;0.174221137;0.357087078;0.074166066;0.620587731;0.266387175
SubSector;CF2_log;Asset Management & Custody Banks;0.909617894;0.827404714;0.715425324;0.242356977;0.121543506;0.826883691
SubSector;CF2_log;Security & Alarm Services;0.587803774;0.345513277;0.579903973;0.133277097;-30.15825672;0.096045088
SubSector;CF2_log;Textiles;0.742698561;0.551601153;0.738027676;0.142005179;-11.23942842;0.083164311
SubSector;CF2_log;Home Improvement Retail;0.991855108;0.983776556;0.767162124;0.146129965;-2.154205897;0.651323686
SubSector;CF2_log;Agricultural & Farm Machinery;0.339475589;0.115243676;0.251671243;0.05516423;0.616101064;0.241914522
SubSector;CF2_log;Environmental & Facilities Services;0.604779207;0.365757889;0.463020698;0.118144908;-0.014749203;0.405261226
SubSector;CF2_log;Household Products;0.414360544;0.171694661;0.336376717;0.064280034;0.617969486;0.266150523
SubSector;CF2_log;Hotels, Resorts & Cruise Lines;0.930389794;0.865625168;0.783697816;0.159021621;-1.721983066;0.847241667
